Default Signal:
N: 501
fs: 100
t0: 0
Signal label: x
Matehmatical Expression: 
x(t): (1.00 exp( -t  )) + (-1.00 exp( -t  / 0.50 ))
Time and signal samples in .csv format
t, x(t)
4.84, 0.00784453
4.85, 0.00776709
4.86, 0.00769041
4.87, 0.00761448
4.88, 0.0075393
4.89, 0.00746485
4.9, 0.00739113
4.91, 0.00731813
4.92, 0.00724585
4.93, 0.00717428
4.94, 0.00710341
4.95, 0.00703323
4.96, 0.00696375
4.97, 0.00689494
4.98, 0.00682681
4.99, 0.00675935
5, 0.00669255
